ICD9Code,DisplayName,GroupDisplayName,ClassDisplayName,SubclassDisplayName
008.02,Intestinal infection due to enterotoxigenic e. coli,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Intestinal Infectious Diseases
008.03,Intestinal infection due to enteroinvasive e. coli,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Intestinal Infectious Diseases
008.04,Intestinal infection due to enterohemorrhagic e. coli,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Intestinal Infectious Diseases
008.2,Intestinal infection due to aerobacter aerogenes,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Intestinal Infectious Diseases
008.3,Intestinal infection due to proteus (mirabilis) (morganii),"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Intestinal Infectious Diseases
008.41,Intestinal infection due to staphylococcus,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Intestinal Infectious Diseases
008.42,Intestinal infection due to pseudomonas,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Intestinal Infectious Diseases
008.43,Intestinal infection due to campylobacter,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Intestinal Infectious Diseases
008.44,Intestinal infection due to yersinia enterocolitica,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Intestinal Infectious Diseases
008.45,Intestinal infection due to clostridium difficile,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Intestinal Infectious Diseases
008.46,Intestinal infection due to other anaerobes,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Intestinal Infectious Diseases
008.49,Intestinal infection due to other organisms,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Intestinal Infectious Diseases
008.5,Bacterial enteritis unspecified,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Intestinal Infectious Diseases
008.61,Enteritis due to rotavirus,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Intestinal Infectious Diseases
008.62,Enteritis due to adenovirus,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Intestinal Infectious Diseases
008.63,Enteritis due to norwalk virus,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Intestinal Infectious Diseases
008.64,Enteritis due to other small round viruses [srv's],"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Intestinal Infectious Diseases
008.66,Enteritis due to astrovirus,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Intestinal Infectious Diseases
008.67,Enteritis due to enterovirus nec,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Intestinal Infectious Diseases
008.69,Enteritis due to other viral enteritis,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Intestinal Infectious Diseases
008.8,Intestinal infection due to other organism not elsewhere classified,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Intestinal Infectious Diseases
009.0,Infectious colitis enteritis and gastroenteritis,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Intestinal Infectious Diseases
009.1,Colitis enteritis and gastroenteritis of presumed infectious origin,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Intestinal Infectious Diseases
009.2,Infectious diarrhea,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Intestinal Infectious Diseases
009.3,Diarrhea of presumed infectious origin,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Intestinal Infectious Diseases
010.00,Primary tuberculous complex unspecified examination,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Tuberculosis
010.03,Primary tuberculous complex tubercle bacilli found (in sputum) by microscopy,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Tuberculosis
010.05,Primary tuberculous complex tubercle bacilli not found by bacteriological examination but tuberculosis confirmed histologically,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Tuberculosis
010.13,Tuberculous pleurisy in primary progressive tuberculosis tubercle bacilli found (in sputum) by microscopy,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Tuberculosis
010.15,Tuberculous pleurisy in primary progressive tuberculosis tubercle bacilli not found by bacteriological examination but tuberculosis confirmed histologically,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Tuberculosis
010.82,Other primary progressive tuberculosis bacteriological or histological examination results unknown (at present),"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Tuberculosis
010.83,Other primary progressive tuberculosis tubercle bacilli found (in sputum) by microscopy,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Tuberculosis
010.90,Primary tuberculous infection unspecified type confirmation unspecified,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Tuberculosis
010.94,Primary tuberculous infection unspecified type tubercle bacilli not found (in sputum) by microscopy but found by bacterial culture,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Tuberculosis
010.96,Primary tuberculous infection unspecified type tubercle bacilli not found by bacteriological or histological examination but tuberculosis confirmed by other methods (inoculation of animals),"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Tuberculosis
011.00,Tuberculosis of lung infiltrative confirmation unspecified,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Tuberculosis
011.01,Tuberculosis of lung infiltrative bacteriological or histological examination not done,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Tuberculosis
011.02,Tuberculosis of lung infiltrative bacteriological or histological examination results unknown (at present),"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Tuberculosis
011.03,Tuberculosis of lung infiltrative tubercle bacilli found (in sputum) by microscopy,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Tuberculosis
011.05,Tuberculosis of lung infiltrative tubercle bacilli not found by bacteriological examination but tuberculosis confirmed histologically,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Tuberculosis
011.10,Tuberculosis of lung nodular unspecified examination,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Tuberculosis
011.11,Tuberculosis of lung nodular bacteriological or histological examination not done,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Tuberculosis
011.20,Tuberculosis of lung with cavitation unspecified examination,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Tuberculosis
011.21,Tuberculosis of lung with cavitation bacteriological or histological examination not done,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Tuberculosis
011.22,Tuberculosis of lung with cavitation bacteriological or histological examination results unknown (at present),"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Tuberculosis
011.25,Tuberculosis of lung with cavitation tubercle bacilli not found by bacteriological examination but tuberculosis confirmed histologically,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Tuberculosis
011.26,Tuberculosis of lung with cavitation tubercle bacilli not found by bacteriological or histological examination but tuberculosis confirmed by other methods (inoculation of animals),"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Tuberculosis
011.30,Tuberculosis of bronchus unspecified examination,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Tuberculosis
011.31,Tuberculosis of bronchus bacteriological or histological examination not done,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Tuberculosis
011.32,Tuberculosis of bronchus bacteriological or histological examination results unknown (at present),"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Tuberculosis
011.33,Tuberculosis of bronchus tubercle bacilli found (in sputum) by microscopy,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Tuberculosis
011.34,Tuberculosis of bronchus tubercle bacilli not found (in sputum) by microscopy but found in bacterial culture,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Tuberculosis
011.35,Tuberculosis of bronchus tubercle bacilli not found by bacteriological examination but tuberculosis confirmed histologically,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Tuberculosis
011.36,Tuberculosis of bronchus tubercle bacilli not found by bacteriological or histological examination but tuberculosis confirmed by other methods (inoculation of animals),"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Tuberculosis
011.40,Tuberculous fibrosis of lung unspecified examination,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Tuberculosis
011.41,Tuberculous fibrosis of lung bacteriological or histological examination not done,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Tuberculosis
011.43,Tuberculous fibrosis of lung tubercle bacilli found (in sputum) by microscopy,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Tuberculosis
011.44,Tuberculous fibrosis of lung tubercle bacilli not found (in sputum) by microscopy but found by bacterial culture,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Tuberculosis
011.45,Tuberculous fibrosis of lung tubercle bacilli not found by bacteriological examination but tuberculosis confirmed histologically,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Tuberculosis
011.50,Tuberculous bronchiectasis unspecified examination,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Tuberculosis
011.53,Tuberculous bronchiectasis tubercle bacilli found (in sputum) by microscopy,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Tuberculosis
011.55,Tuberculous bronchiectasis tubercle bacilli not found by bacteriological examination but tuberculosis confirmed histologically,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Tuberculosis
011.60,Tuberculous pneumonia (any form) unspecified examination,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Tuberculosis
011.72,Tuberculous pneumothorax bacteriological or histological examination results unknown (at present),"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Tuberculosis
011.80,Other specified pulmonary tuberculosis unspecified confirmation,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Tuberculosis
011.81,Other specified pulmonary tuberculosis bacteriological or histological examination not done,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Tuberculosis
011.82,Other specified pulmonary tuberculosis bacteriological or histological examination results unknown (at present),"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Tuberculosis
011.85,Other specified pulmonary tuberculosis tubercle bacilli not found by bacteriological examination but tuberculosis confirmed histologically,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Tuberculosis
011.86,Other specified pulmonary tuberculosis tubercle bacilli not found by bacteriological or histological examination but tuberculosis confirmed by other methods (inoculation of animals),"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Tuberculosis
011.90,Unspecified pulmonary tuberculosis confirmation unspecified,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Tuberculosis
011.91,Unspecified pulmonary tuberculosis bacteriological or histological examination not done,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Tuberculosis
011.92,Unspecified pulmonary tuberculosis bacteriological or histological examination results unknown (at present),"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Tuberculosis
011.93,Unspecified pulmonary tuberculosis tubercle bacilli found (in sputum) by microscopy,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Tuberculosis
011.94,Unspecified pulmonary tuberculosis tubercle bacilli not found (in sputum) by microscopy but found by bacterial culture,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Tuberculosis
011.95,Unspecified pulmonary tuberculosis tubercle bacilli not found by bacteriological examination but tuberculosis confirmed histologically,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Tuberculosis
011.96,Unspecified pulmonary tuberculosis tubercle bacilli not found by bacteriological or histological examination but tuberculosis confirmed by other methods (inoculation of animals),"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Tuberculosis
012.00,Tuberculous pleurisy confirmation unspecified,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Tuberculosis
012.01,Tuberculous pleurisy bacteriological or histological examination not done,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Tuberculosis
012.05,Tuberculous pleurisy tubercle bacilli not found by bacteriological examination but tuberculosis confirmed histologically,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Tuberculosis
012.06,Tuberculous pleurisy tubercle bacilli not found by bacteriological or histological examination but tuberculosis confirmed by other methods (inoculation of animals),"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Tuberculosis
012.10,Tuberculosis of intrathoracic lymph nodes confirmation unspecified,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Tuberculosis
012.12,Tuberculosis of intrathoracic lymph nodes bacteriological or histological examination results unknown (at present),"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Tuberculosis
012.20,Isolated tracheal or bronchial tuberculosis unspecified examination,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Tuberculosis
012.21,Isolated tracheal or bronchial tuberculosis bacteriological or histological examination not done,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Tuberculosis
012.22,Isolated tracheal or bronchial tuberculosis bacteriological or histological examination results unknown (at present),"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Tuberculosis
012.23,Isolated tracheal or bronchial tuberculosis tubercle bacilli found (in sputum) by microscopy,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Tuberculosis
012.24,Isolated tracheal or bronchial tuberculosis tubercle bacilli not found (in sputum) by microscopy but found by bacterial culture,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Tuberculosis
012.25,Isolated tracheal or bronchial tuberculosis tubercle bacilli not found by bacteriological examination but tuberculosis confirmed histologically,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Tuberculosis
012.80,Other specified respiratory tuberculosis unspecified examination,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Tuberculosis
013.00,Tuberculous meningitis unspecified examination,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Tuberculosis
013.01,Tuberculous meningitis bacteriological or histological examination not done,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Tuberculosis
013.02,Tuberculous meningitis bacteriological or histological examination results unknown (at present),"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Tuberculosis
013.20,Tuberculoma of brain unspecified examination,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Tuberculosis
013.40,Tuberculoma of spinal cord unspecified examination,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Tuberculosis
013.42,Tuberculoma of spinal cord bacteriological or histological examination results unknown (at present),"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Tuberculosis
013.90,Unspecified tuberculosis of central nervous system unspecified examination,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Tuberculosis
013.95,Unspecified tuberculosis of central nervous system tubercle bacilli not found by bacteriological examination but tuberculosis confirmed histologically,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Tuberculosis
014.00,Tuberculous peritonitis unspecified examination,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Tuberculosis
014.01,Tuberculous peritonitis bacteriological or histological examination not done,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Tuberculosis
014.02,Tuberculous peritonitis bacteriological or histological examination results unknown (at present),"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Tuberculosis
014.04,Tuberculous peritonitis tubercle bacilli not found (in sputum) by microscopy but found by bacterial culture,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Tuberculosis
014.80,Other tuberculosis of intestines and mesenteric glands unspecified examination,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Tuberculosis
014.82,Other tuberculosis of intestines and mesenteric glands bacteriological or histological examination results unknown (at present),"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Tuberculosis
014.85,Other tuberculosis of intestines and mesenteric glands tubercle bacilli not found by bacteriological examination but tuberculosis confirmed histologically,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Tuberculosis
015.00,Tuberculosis of vertebral column unspecified examination,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Tuberculosis
015.02,Tuberculosis of vertebral column bacteriological or histological examination results unknown (at present),"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Tuberculosis
015.05,Tuberculosis of vertebral column tubercle bacilli not found by bacteriological examination but tuberculosis confirmed histologically,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Tuberculosis
015.10,Tuberculosis of hip unspecified examination,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Tuberculosis
015.16,Tuberculosis of hip tubercle bacilli not found by bacteriological or histological examination but tuberculosis confirmed by other methods (inoculation of animals),"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Tuberculosis
015.50,Tuberculosis of limb bones unspecified examination,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Tuberculosis
015.55,Tuberculosis of limb bones tubercle bacilli not found by bacteriological examination but tuberculosis confirmed histologically,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Tuberculosis
015.70,Tuberculosis of other specified bone unspecified examination,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Tuberculosis
015.71,Tuberculosis of other specified bone bacteriological or histological examination not done,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Tuberculosis
015.75,Tuberculosis of other specified bone tubercle bacilli not found by bacteriological examination but tuberculosis confirmed histologically,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Tuberculosis
015.80,Tuberculosis of other specified joint unspecified examination,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Tuberculosis
015.90,Tuberculosis of unspecified bones and joints unspecified examination,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Tuberculosis
015.91,Tuberculosis of unspecified bones and joints bacteriological or histological examination not done,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Tuberculosis
016.00,Tuberculosis of kidney unspecified examination,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Tuberculosis
016.02,Tuberculosis of kidney bacteriological or histological examination results unknown (at present),"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Tuberculosis
016.03,Tuberculosis of kidney tubercle bacilli found (in sputum) by microscopy,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Tuberculosis
016.06,Tuberculosis of kidney tubercle bacilli not found by bacteriological or histological examination but tuberculosis confirmed by other methods (inoculation of animals),"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Tuberculosis
016.10,Tuberculosis of bladder unspecified examination,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Tuberculosis
016.40,Tuberculosis of epididymis unspecified examination,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Tuberculosis
016.42,Tuberculosis of epididymis bacteriological or histological examination results unknown (at present),"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Tuberculosis
016.50,Tuberculosis of other male genital organs unspecified examination,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Tuberculosis
016.52,Tuberculosis of other male genital organs bacteriological or histological examination results unknown (at present),"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Tuberculosis
016.60,Tuberculous oophoritis and salpingitis unspecified examination,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Tuberculosis
016.75,Tuberculosis of other female genital organs tubercle bacilli not found by bacteriological examination but tuberculosis confirmed histologically,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Tuberculosis
016.90,Unspecified genitourinary tuberculosis unspecified examination,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Tuberculosis
017.00,Tuberculosis of skin and subcutaneous cellular tissue unspecified examination,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Tuberculosis
017.05,Tuberculosis of skin and subcutaneous cellular tissue tubercle bacilli not found by bacteriological examination but tuberculosis confirmed histologically,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Tuberculosis
017.06,Tuberculosis of skin and subcutaneous cellular tissue tubercle bacilli not found by bacteriological or histological examination but tuberculosis confirmed by other methods (inoculation of animals),"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Tuberculosis
017.10,Erythema nodosum with hypersensitivity reaction in tuberculosis unspecified examination,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Tuberculosis
017.20,Tuberculosis of peripheral lymph nodes unspecified examination,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Tuberculosis
017.24,Tuberculosis of peripheral lymph nodes tubercle bacilli not found (in sputum) by microscopy but found by bacterial culture,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Tuberculosis
017.30,Tuberculosis of eye unspecified examination,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Tuberculosis
017.31,Tuberculosis of eye bacteriological or histological examination not done,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Tuberculosis
017.40,Tuberculosis of ear unspecified examination,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Tuberculosis
017.60,Tuberculosis of adrenal glands unspecified examination,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Tuberculosis
017.61,Tuberculosis of adrenal glands bacteriological or histological examination not done,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Tuberculosis
017.63,Tuberculosis of adrenal glands tubercle bacilli found (in sputum) by microscopy,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Tuberculosis
017.65,Tuberculosis of adrenal glands tubercle bacilli not found by bacteriological examination but tuberculosis confirmed histologically,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Tuberculosis
017.66,Tuberculosis of adrenal glands tubercle bacilli not found by bacteriological or histological examination but tuberculosis confirmed by other methods (inoculation of animals),"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Tuberculosis
